start-location,start_time,exit_time
2,0,61
44,1,73
39,2,66
24,2,88
24,4,67
64,5,118
95,6,59
86,6,53
33,7,41
90,7,41
86,7,126
35,9,79
87,10,70
7,11,82
15,11,50
88,11,85
57,12,118
59,12,77
26,12,57
23,13,55
89,13,98
30,13,94
42,14,72
93,14,67
77,15,83
27,15,134
61,16,82
56,17,103
67,17,78
32,17,109
81,17,92
80,17,55
61,17,66
46,18,91
27,19,102
54,21,105
89,21,118
81,22,101
70,23,81
70,24,85
57,26,122
42,26,58
77,28,72
68,28,141
29,28,121
32,28,134
23,29,120
36,30,127
80,30,145
25,31,76
28,31,86
35,31,148
59,32,132
90,32,94
95,32,69
33,34,118
87,35,112
23,35,127
63,36,104
18,36,115
20,36,155
60,37,123
64,37,128
20,38,129
43,38,92
89,38,156
64,39,149
75,39,96
6,40,101
44,40,108
83,41,137
20,41,116
76,42,91
13,43,102
52,43,143
29,45,97
34,46,127
8,46,149
34,46,160
34,47,98
27,48,122
12,49,93
40,49,103
66,50,89
65,50,141
80,52,135
25,52,147
92,53,121
4,54,148
47,55,156
87,55,144
83,58,134
64,58,103
92,60,145
41,61,151
80,62,161
52,62,112
42,62,140
2,63,120
22,66,150
62,67,180
14,68,172
59,68,185
18,68,131
31,68,183
34,70,117
31,71,135
7,72,178
33,72,175
15,72,181
96,72,136
30,72,117
14,74,153
52,74,122
68,74,169
26,75,166
52,75,145
60,76,150
21,76,131
18,78,130
23,78,129
86,79,135
17,83,120
74,83,199
82,83,130
50,84,193
85,84,201
70,85,182
88,85,130
53,85,187
30,86,142
23,86,151
89,87,146
20,88,179
4,89,169
87,90,126
3,91,161
2,92,207
16,92,132
99,92,168
24,93,164
27,94,137
64,97,182
82,98,148
50,100,197
47,101,144
11,101,180
42,101,181
30,102,141
81,102,212
21,102,171
85,103,173
45,104,197
1,105,208
94,105,173
69,105,189
89,105,194
43,105,204
83,106,162
55,106,171
99,107,187
44,108,172
67,110,174
48,111,169
96,111,149
69,112,204
7,112,175
23,113,183
76,114,230
55,115,220
10,116,183
64,118,165
47,118,206
47,118,216
38,118,237
86,119,208
84,119,178
17,119,235
53,120,216
72,121,155
54,121,172
61,121,188
56,122,200
4,122,155
12,122,195
45,122,204
58,122,176
14,122,206
62,123,234
63,125,203
17,126,224
