start-location,start_time,exit_time
82,99,149
32,324,428
87,36,113
37,251,303
40,50,104
69,332,402
13,206,258
22,254,303
54,171,207
18,152,195
44,41,109
49,133,209
17,120,236
44,222,298
92,54,122
86,332,366
7,312,348
96,112,150
59,288,382
20,245,283
2,1,62
82,292,358
52,360,447
65,161,216
49,226,329
72,179,223
64,348,466
49,301,409
45,123,205
23,79,130
43,193,283
94,226,282
93,15,68
58,220,308
54,188,281
14,123,207
61,183,220
14,75,154
18,79,131
33,73,176
55,256,342
4,233,348
24,3,89
81,18,93
89,14,99
27,95,138
3,92,162
14,230,319
70,24,82
52,63,113
23,279,336
49,348,405
62,264,365
86,326,417
27,49,123
57,243,316
54,122,173
65,182,257
76,245,309
83,292,404
45,344,402
86,80,136
26,151,252
67,255,374
38,119,238
85,104,174
27,20,103
71,247,286
89,22,119
26,158,217
24,287,331
56,18,104
55,107,172
13,207,274
32,18,110
23,114,184
25,322,368
84,316,358
56,327,428
81,103,213
87,292,407
56,137,178
63,180,291
88,328,407
44,208,309
5,196,247
11,223,317
8,47,150
12,280,363
21,317,376
76,43,92
29,46,98
80,31,146
15,12,51
90,8,42
31,143,241
7,141,179
47,102,145
34,47,161
58,135,219
97,186,235
56,123,201
59,216,269
21,77,132
73,233,347
14,69,173
31,171,278
63,155,234
1,359,409
42,102,182
43,240,346
49,291,388
83,42,138
96,147,186
50,128,192
63,248,278
9,294,360
73,131,196
89,195,291
50,252,306
78,152,226
77,16,84
67,295,393
61,17,83
36,31,128
64,59,104
8,211,273
77,151,231
58,280,335
58,282,389
26,76,167
75,177,288
52,146,263
71,300,337
83,59,135
87,91,127
21,248,347
21,319,363
32,129,213
70,25,86
20,37,156
94,188,290
44,109,173
19,215,263
85,85,202
30,14,95
10,184,224
74,84,200
84,164,244
89,39,157
21,169,212
69,176,232
35,10,80
34,47,128
14,329,388
17,127,225
98,243,284
96,73,137
76,268,341
37,258,361
89,161,251
21,103,172
64,40,150
7,73,179
83,303,377
74,150,208
55,116,221
58,243,340
98,141,217
31,312,422
44,2,74
81,193,258
10,179,260
65,325,378
97,255,301
67,309,378
77,29,73
35,167,264
11,276,392
30,87,143
77,293,338
46,19,92
53,86,188
82,262,296
58,139,209
18,69,132
81,275,357
59,268,314
88,12,86
28,210,320
4,90,170
61,122,189
34,48,99
13,44,103
94,256,323
45,224,313
8,149,180
14,250,305
3,338,368
24,94,165
62,132,232
70,171,238
2,64,121
64,98,183
22,293,323
60,77,151
63,37,105
67,193,239
99,108,188
82,84,131
48,112,170
64,119,166
67,251,329
58,279,320
42,321,365
28,32,87
55,309,344
25,32,77
16,321,435
93,276,308
26,146,184
68,75,170
50,85,194
41,244,334
57,13,119
95,180,275
56,241,292
31,201,248
28,228,336
52,75,123
98,197,250
16,293,337
3,199,229
45,105,198
10,185,227
83,172,227
68,319,421
26,13,58
45,281,375
55,237,331
64,306,386
76,115,231
92,237,342
82,292,350
26,197,276
68,29,142
3,174,213
75,40,97
70,172,284
23,343,408
14,252,349
66,149,198
6,295,405
63,217,324
91,230,321
13,270,316
66,51,90
0,359,454
64,302,350
9,218,306
67,355,408
30,196,284
15,73,182
62,124,235
70,86,183
85,143,234
43,39,93
69,113,205
16,313,425
42,275,342
2,93,208
61,18,67
84,158,271
81,188,235
6,255,348
86,8,127
77,166,260
16,93,133
53,344,456
31,72,136
47,119,217
86,7,54
88,228,258
88,326,390
49,359,427
67,111,175
42,27,59
76,206,306
12,50,94
94,106,174
32,235,307
25,341,393
40,154,269
80,63,162
20,42,117
10,117,184
27,225,277
52,44,144
7,113,176
22,166,267
