USERID,VERTEX,TIME,minute
470,38,2012-04-03 18:00:09+00:00,0
979,13,2012-04-03 18:00:25+00:00,0
69,38,2012-04-03 18:02:24+00:00,2
395,44,2012-04-03 18:02:41+00:00,2
87,43,2012-04-03 18:03:00+00:00,3
484,32,2012-04-03 18:04:00+00:00,4
642,46,2012-04-03 18:04:38+00:00,4
292,52,2012-04-03 18:04:42+00:00,4
428,15,2012-04-03 18:06:18+00:00,6
877,15,2012-04-03 18:06:19+00:00,6
87,44,2012-04-03 18:07:15+00:00,7
625,44,2012-04-03 18:08:57+00:00,8
691,38,2012-04-03 18:09:06+00:00,9
116,43,2012-04-03 18:09:29+00:00,9
931,35,2012-04-03 18:09:59+00:00,9
53,71,2012-04-03 18:10:04+00:00,10
445,63,2012-04-03 18:10:39+00:00,10
135,46,2012-04-03 18:11:04+00:00,11
895,81,2012-04-03 18:11:16+00:00,11
704,41,2012-04-03 18:11:35+00:00,11
891,75,2012-04-03 18:12:09+00:00,12
284,44,2012-04-03 18:12:27+00:00,12
901,22,2012-04-03 18:12:42+00:00,12
803,48,2012-04-03 18:13:12+00:00,13
699,42,2012-04-03 18:13:21+00:00,13
100,54,2012-04-03 18:14:03+00:00,14
642,46,2012-04-03 18:14:21+00:00,14
443,24,2012-04-03 18:14:44+00:00,14
689,43,2012-04-03 18:15:05+00:00,15
390,45,2012-04-03 18:15:07+00:00,15
32,45,2012-04-03 18:15:33+00:00,15
230,41,2012-04-03 18:16:09+00:00,16
445,63,2012-04-03 18:16:10+00:00,16
834,71,2012-04-03 18:16:19+00:00,16
962,43,2012-04-03 18:17:17+00:00,17
1032,79,2012-04-03 18:18:54+00:00,18
525,94,2012-04-03 18:19:07+00:00,19
525,94,2012-04-03 18:19:07+00:00,19
962,43,2012-04-03 18:19:21+00:00,19
318,33,2012-04-03 18:19:25+00:00,19
1047,52,2012-04-03 18:19:28+00:00,19
738,40,2012-04-03 18:21:27+00:00,21
364,52,2012-04-03 18:21:33+00:00,21
398,51,2012-04-03 18:23:40+00:00,23
839,45,2012-04-03 18:24:02+00:00,24
424,31,2012-04-03 18:24:38+00:00,24
751,40,2012-04-03 18:24:51+00:00,24
1047,52,2012-04-03 18:24:58+00:00,24
889,85,2012-04-03 18:26:46+00:00,26
612,48,2012-04-03 18:27:43+00:00,27
643,53,2012-04-03 18:31:32+00:00,31
643,53,2012-04-03 18:32:11+00:00,32
1032,76,2012-04-03 18:32:27+00:00,32
718,61,2012-04-03 18:33:26+00:00,33
768,57,2012-04-03 18:33:29+00:00,33
15,53,2012-04-03 18:33:49+00:00,33
768,57,2012-04-03 18:34:00+00:00,34
458,33,2012-04-03 18:34:10+00:00,34
877,15,2012-04-03 18:34:55+00:00,34
280,43,2012-04-03 18:35:31+00:00,35
318,45,2012-04-03 18:36:56+00:00,36
839,45,2012-04-03 18:37:12+00:00,37
1016,87,2012-04-03 18:39:29+00:00,39
281,44,2012-04-03 18:39:34+00:00,39
366,42,2012-04-03 18:39:36+00:00,39
276,46,2012-04-03 18:39:42+00:00,39
135,36,2012-04-03 18:39:44+00:00,39
227,43,2012-04-03 18:42:03+00:00,42
612,48,2012-04-03 18:42:25+00:00,42
458,33,2012-04-03 18:42:32+00:00,42
80,29,2012-04-03 18:43:53+00:00,43
445,58,2012-04-03 18:44:07+00:00,44
673,34,2012-04-03 18:45:15+00:00,45
318,45,2012-04-03 18:46:30+00:00,46
337,63,2012-04-03 18:47:11+00:00,47
916,37,2012-04-03 18:47:23+00:00,47
639,51,2012-04-03 18:48:57+00:00,48
752,71,2012-04-03 18:49:59+00:00,49
713,44,2012-04-03 18:51:03+00:00,51
449,35,2012-04-03 18:52:48+00:00,52
1016,82,2012-04-03 18:55:51+00:00,55
803,45,2012-04-03 18:56:09+00:00,56
895,82,2012-04-03 18:57:40+00:00,57
1012,48,2012-04-03 18:57:46+00:00,57
749,50,2012-04-03 18:58:56+00:00,58
916,40,2012-04-03 19:00:04+00:00,60
438,46,2012-04-03 19:00:31+00:00,60
217,46,2012-04-03 19:01:16+00:00,61
656,42,2012-04-03 19:01:19+00:00,61
225,40,2012-04-03 19:01:28+00:00,61
628,64,2012-04-03 19:01:40+00:00,61
225,40,2012-04-03 19:03:16+00:00,63
504,37,2012-04-03 19:03:38+00:00,63
226,47,2012-04-03 19:03:47+00:00,63
164,48,2012-04-03 19:04:41+00:00,64
445,63,2012-04-03 19:05:22+00:00,65
235,44,2012-04-03 19:07:59+00:00,67
118,11,2012-04-03 19:08:27+00:00,68
1054,72,2012-04-03 19:08:42+00:00,68
881,59,2012-04-03 19:09:18+00:00,69
713,44,2012-04-03 19:09:49+00:00,69
706,29,2012-04-03 19:11:04+00:00,71
706,30,2012-04-03 19:12:08+00:00,72
673,34,2012-04-03 19:14:07+00:00,74
143,22,2012-04-03 19:14:15+00:00,74
1005,39,2012-04-03 19:14:31+00:00,74
706,30,2012-04-03 19:14:34+00:00,74
706,30,2012-04-03 19:15:04+00:00,75
912,44,2012-04-03 19:15:06+00:00,75
537,47,2012-04-03 19:16:47+00:00,76
406,40,2012-04-03 19:17:24+00:00,77
868,43,2012-04-03 19:17:34+00:00,77
1055,51,2012-04-03 19:18:05+00:00,78
751,40,2012-04-03 19:18:58+00:00,78
907,62,2012-04-03 19:19:39+00:00,79
303,52,2012-04-03 19:19:54+00:00,79
445,62,2012-04-03 19:20:46+00:00,80
793,45,2012-04-03 19:20:53+00:00,80
784,8,2012-04-03 19:21:00+00:00,81
793,45,2012-04-03 19:21:10+00:00,81
734,89,2012-04-03 19:21:58+00:00,81
540,16,2012-04-03 19:24:28+00:00,84
816,89,2012-04-03 19:24:52+00:00,84
623,34,2012-04-03 19:25:03+00:00,85
950,67,2012-04-03 19:25:46+00:00,85
294,44,2012-04-03 19:26:11+00:00,86
950,66,2012-04-03 19:26:31+00:00,86
1055,53,2012-04-03 19:27:54+00:00,87
615,41,2012-04-03 19:29:18+00:00,89
385,77,2012-04-03 19:29:36+00:00,89
615,41,2012-04-03 19:29:44+00:00,89
950,60,2012-04-03 19:29:47+00:00,89
950,58,2012-04-03 19:30:24+00:00,90
173,47,2012-04-03 19:30:41+00:00,90
292,47,2012-04-03 19:33:21+00:00,93
801,35,2012-04-03 19:33:52+00:00,93
16,31,2012-04-03 19:33:58+00:00,93
69,37,2012-04-03 19:34:56+00:00,94
467,35,2012-04-03 19:35:24+00:00,95
7,51,2012-04-03 19:35:38+00:00,95
592,42,2012-04-03 19:36:05+00:00,96
669,45,2012-04-03 19:36:57+00:00,96
574,42,2012-04-03 19:37:28+00:00,97
443,24,2012-04-03 19:38:10+00:00,98
436,44,2012-04-03 19:38:16+00:00,98
636,36,2012-04-03 19:38:34+00:00,98
865,36,2012-04-03 19:40:08+00:00,100
225,42,2012-04-03 19:40:13+00:00,100
621,91,2012-04-03 19:40:48+00:00,100
272,40,2012-04-03 19:42:24+00:00,102
1063,66,2012-04-03 19:42:40+00:00,102
591,40,2012-04-03 19:43:04+00:00,103
976,37,2012-04-03 19:43:17+00:00,103
562,79,2012-04-03 19:45:22+00:00,105
783,43,2012-04-03 19:47:43+00:00,107
319,20,2012-04-03 19:48:46+00:00,108
468,53,2012-04-03 19:49:09+00:00,109
874,32,2012-04-03 19:49:58+00:00,109
107,43,2012-04-03 19:50:32+00:00,110
281,44,2012-04-03 19:50:48+00:00,110
667,56,2012-04-03 19:50:54+00:00,110
718,63,2012-04-03 19:51:02+00:00,111
557,45,2012-04-03 19:51:07+00:00,111
725,45,2012-04-03 19:51:41+00:00,111
774,48,2012-04-03 19:54:00+00:00,114
976,38,2012-04-03 19:54:07+00:00,114
880,55,2012-04-03 19:54:09+00:00,114
1055,54,2012-04-03 19:54:11+00:00,114
288,46,2012-04-03 19:54:55+00:00,114
335,26,2012-04-03 19:57:44+00:00,117
335,26,2012-04-03 19:58:01+00:00,118
769,57,2012-04-03 19:59:57+00:00,119
562,66,2012-04-03 20:00:37+00:00,120
1063,58,2012-04-03 20:00:39+00:00,120
194,22,2012-04-03 20:01:38+00:00,121
100,50,2012-04-03 20:03:06+00:00,123
403,38,2012-04-03 20:03:52+00:00,123
573,64,2012-04-03 20:03:56+00:00,123
445,42,2012-04-03 20:03:59+00:00,123
834,64,2012-04-03 20:04:11+00:00,124
346,85,2012-04-03 20:04:18+00:00,124
1012,42,2012-04-03 20:04:26+00:00,124
968,72,2012-04-03 20:05:43+00:00,125
539,47,2012-04-03 20:05:46+00:00,125
976,34,2012-04-03 20:05:56+00:00,125
184,39,2012-04-03 20:05:56+00:00,125
184,39,2012-04-03 20:05:56+00:00,125
144,50,2012-04-03 20:07:05+00:00,127
865,33,2012-04-03 20:07:29+00:00,127
562,66,2012-04-03 20:07:48+00:00,127
734,94,2012-04-03 20:07:51+00:00,127
71,46,2012-04-03 20:08:03+00:00,128
688,44,2012-04-03 20:08:04+00:00,128
65,58,2012-04-03 20:09:55+00:00,129
885,36,2012-04-03 20:10:51+00:00,130
885,36,2012-04-03 20:11:05+00:00,131
592,35,2012-04-03 20:11:13+00:00,131
267,73,2012-04-03 20:11:28+00:00,131
976,33,2012-04-03 20:11:45+00:00,131
267,72,2012-04-03 20:11:54+00:00,131
880,54,2012-04-03 20:11:54+00:00,131
592,35,2012-04-03 20:15:34+00:00,135
267,72,2012-04-03 20:15:46+00:00,135
615,40,2012-04-03 20:16:59+00:00,136
877,14,2012-04-03 20:18:35+00:00,138
820,43,2012-04-03 20:19:51+00:00,139
820,42,2012-04-03 20:20:24+00:00,140
445,41,2012-04-03 20:21:06+00:00,141
516,47,2012-04-03 20:21:12+00:00,141
281,44,2012-04-03 20:21:35+00:00,141
176,36,2012-04-03 20:21:44+00:00,141
528,6,2012-04-03 20:22:14+00:00,142
592,34,2012-04-03 20:23:14+00:00,143
30,39,2012-04-03 20:24:18+00:00,144
1063,55,2012-04-03 20:24:56+00:00,144
246,48,2012-04-03 20:25:40+00:00,145
669,45,2012-04-03 20:26:09+00:00,146
246,48,2012-04-03 20:26:32+00:00,146
515,40,2012-04-03 20:27:23+00:00,147
458,33,2012-04-03 20:27:35+00:00,147
615,40,2012-04-03 20:27:44+00:00,147
710,68,2012-04-03 20:27:50+00:00,147
768,64,2012-04-03 20:29:37+00:00,149
145,39,2012-04-03 20:30:13+00:00,150
498,17,2012-04-03 20:31:56+00:00,151
894,34,2012-04-03 20:32:35+00:00,152
557,45,2012-04-03 20:34:20+00:00,154
1063,52,2012-04-03 20:35:02+00:00,155
528,6,2012-04-03 20:37:20+00:00,157
313,48,2012-04-03 20:37:25+00:00,157
120,12,2012-04-03 20:38:15+00:00,158
976,32,2012-04-03 20:38:46+00:00,158
798,62,2012-04-03 20:38:50+00:00,158
798,63,2012-04-03 20:39:38+00:00,159
598,43,2012-04-03 20:40:33+00:00,160
1078,56,2012-04-03 20:41:37+00:00,161
195,59,2012-04-03 20:42:26+00:00,162
623,34,2012-04-03 20:43:37+00:00,163
59,48,2012-04-03 20:45:37+00:00,165
662,38,2012-04-03 20:45:37+00:00,165
425,86,2012-04-03 20:45:56+00:00,165
662,38,2012-04-03 20:46:44+00:00,166
592,34,2012-04-03 20:46:49+00:00,166
691,44,2012-04-03 20:46:53+00:00,166
756,46,2012-04-03 20:48:35+00:00,168
100,55,2012-04-03 20:49:02+00:00,169
667,83,2012-04-03 20:49:53+00:00,169
107,49,2012-04-03 20:49:59+00:00,169
615,42,2012-04-03 20:50:42+00:00,170
615,42,2012-04-03 20:50:58+00:00,170
318,45,2012-04-03 20:51:27+00:00,171
107,49,2012-04-03 20:51:27+00:00,171
669,35,2012-04-03 20:52:18+00:00,172
553,28,2012-04-03 20:52:56+00:00,172
498,18,2012-04-03 20:53:10+00:00,173
768,77,2012-04-03 20:54:05+00:00,174
702,32,2012-04-03 20:55:04+00:00,175
768,92,2012-04-03 20:55:33+00:00,175
702,33,2012-04-03 20:55:45+00:00,175
768,92,2012-04-03 20:56:14+00:00,176
318,45,2012-04-03 20:56:27+00:00,176
620,72,2012-04-03 20:56:38+00:00,176
540,16,2012-04-03 20:57:14+00:00,177
217,46,2012-04-03 20:57:17+00:00,177
540,16,2012-04-03 20:57:27+00:00,177
84,46,2012-04-03 20:57:42+00:00,177
129,45,2012-04-03 20:58:08+00:00,178
173,47,2012-04-03 20:58:10+00:00,178
173,47,2012-04-03 20:58:20+00:00,178
768,92,2012-04-03 20:58:50+00:00,178
768,92,2012-04-03 20:59:34+00:00,179
557,45,2012-04-03 21:00:07+00:00,180
318,45,2012-04-03 21:00:19+00:00,180
256,44,2012-04-03 21:00:29+00:00,180
752,70,2012-04-03 21:00:30+00:00,180
118,14,2012-04-03 21:01:31+00:00,181
864,25,2012-04-03 21:02:39+00:00,182
768,92,2012-04-03 21:02:42+00:00,182
592,21,2012-04-03 21:03:26+00:00,183
1055,49,2012-04-03 21:04:39+00:00,184
318,45,2012-04-03 21:06:31+00:00,186
658,44,2012-04-03 21:07:02+00:00,187
669,36,2012-04-03 21:09:13+00:00,189
951,47,2012-04-03 21:09:19+00:00,189
809,41,2012-04-03 21:10:39+00:00,190
817,58,2012-04-03 21:11:33+00:00,191
371,53,2012-04-03 21:12:05+00:00,192
371,54,2012-04-03 21:12:23+00:00,192
371,54,2012-04-03 21:12:35+00:00,192
121,43,2012-04-03 21:12:36+00:00,192
592,21,2012-04-03 21:13:14+00:00,193
204,18,2012-04-03 21:13:15+00:00,193
121,43,2012-04-03 21:13:42+00:00,193
718,62,2012-04-03 21:13:54+00:00,193
121,43,2012-04-03 21:13:57+00:00,193
121,43,2012-04-03 21:14:08+00:00,194
420,83,2012-04-03 21:14:12+00:00,194
318,45,2012-04-03 21:14:51+00:00,194
49,47,2012-04-03 21:15:12+00:00,195
50,45,2012-04-03 21:15:27+00:00,195
225,43,2012-04-03 21:16:01+00:00,196
29,22,2012-04-03 21:16:02+00:00,196
445,32,2012-04-03 21:17:31+00:00,197
50,46,2012-04-03 21:18:32+00:00,198
519,42,2012-04-03 21:18:34+00:00,198
340,41,2012-04-03 21:18:47+00:00,198
1010,55,2012-04-03 21:20:56+00:00,200
117,40,2012-04-03 21:21:50+00:00,201
1034,42,2012-04-03 21:22:18+00:00,202
117,41,2012-04-03 21:22:22+00:00,202
528,37,2012-04-03 21:22:34+00:00,202
391,46,2012-04-03 21:22:38+00:00,202
217,65,2012-04-03 21:22:44+00:00,202
528,37,2012-04-03 21:23:10+00:00,203
528,37,2012-04-03 21:23:52+00:00,203
526,47,2012-04-03 21:24:41+00:00,204
645,42,2012-04-03 21:24:48+00:00,204
258,16,2012-04-03 21:26:35+00:00,206
645,42,2012-04-03 21:26:58+00:00,206
458,32,2012-04-03 21:27:43+00:00,207
758,28,2012-04-03 21:28:09+00:00,208
653,47,2012-04-03 21:28:54+00:00,208
611,41,2012-04-03 21:29:09+00:00,209
47,35,2012-04-03 21:29:21+00:00,209
192,42,2012-04-03 21:29:35+00:00,209
455,35,2012-04-03 21:30:24+00:00,210
574,41,2012-04-03 21:30:44+00:00,210
577,21,2012-04-03 21:31:05+00:00,211
984,44,2012-04-03 21:31:50+00:00,211
1025,67,2012-04-03 21:32:01+00:00,212
354,30,2012-04-03 21:32:16+00:00,212
354,37,2012-04-03 21:32:31+00:00,212
951,60,2012-04-03 21:32:59+00:00,212
373,57,2012-04-03 21:33:17+00:00,213
902,90,2012-04-03 21:33:27+00:00,213
571,63,2012-04-03 21:33:56+00:00,213
951,62,2012-04-03 21:34:05+00:00,214
120,38,2012-04-03 21:34:35+00:00,214
734,89,2012-04-03 21:34:50+00:00,214
84,46,2012-04-03 21:35:09+00:00,215
669,35,2012-04-03 21:35:25+00:00,215
440,45,2012-04-03 21:35:42+00:00,215
318,45,2012-04-03 21:36:04+00:00,216
120,37,2012-04-03 21:36:12+00:00,216
987,46,2012-04-03 21:36:14+00:00,216
185,94,2012-04-03 21:36:37+00:00,216
653,46,2012-04-03 21:37:10+00:00,217
987,47,2012-04-03 21:38:14+00:00,218
559,48,2012-04-03 21:38:24+00:00,218
639,51,2012-04-03 21:38:31+00:00,218
816,87,2012-04-03 21:38:34+00:00,218
874,32,2012-04-03 21:38:48+00:00,218
786,46,2012-04-03 21:38:52+00:00,218
279,38,2012-04-03 21:39:48+00:00,219
264,45,2012-04-03 21:40:07+00:00,220
987,47,2012-04-03 21:40:08+00:00,220
1025,68,2012-04-03 21:41:46+00:00,221
354,37,2012-04-03 21:41:59+00:00,221
184,53,2012-04-03 21:42:04+00:00,222
529,37,2012-04-03 21:42:39+00:00,222
987,47,2012-04-03 21:42:47+00:00,222
354,37,2012-04-03 21:42:52+00:00,222
354,37,2012-04-03 21:43:29+00:00,223
131,29,2012-04-03 21:43:39+00:00,223
987,47,2012-04-03 21:44:29+00:00,224
101,37,2012-04-03 21:44:32+00:00,224
207,77,2012-04-03 21:44:53+00:00,224
78,41,2012-04-03 21:45:33+00:00,225
943,82,2012-04-03 21:46:15+00:00,226
59,44,2012-04-03 21:47:27+00:00,227
179,85,2012-04-03 21:47:45+00:00,227
469,49,2012-04-03 21:48:33+00:00,228
458,29,2012-04-03 21:48:45+00:00,228
4,59,2012-04-03 21:49:54+00:00,229
444,48,2012-04-03 21:50:19+00:00,230
586,45,2012-04-03 21:50:29+00:00,230
592,19,2012-04-03 21:51:09+00:00,231
381,18,2012-04-03 21:51:16+00:00,231
381,18,2012-04-03 21:51:41+00:00,231
621,87,2012-04-03 21:52:18+00:00,232
510,46,2012-04-03 21:52:30+00:00,232
1044,37,2012-04-03 21:52:49+00:00,232
889,80,2012-04-03 21:52:54+00:00,232
519,41,2012-04-03 21:53:00+00:00,233
669,35,2012-04-03 21:53:44+00:00,233
217,63,2012-04-03 21:53:59+00:00,233
889,79,2012-04-03 21:54:09+00:00,234
572,52,2012-04-03 21:54:39+00:00,234
889,79,2012-04-03 21:54:54+00:00,234
1072,29,2012-04-03 21:54:56+00:00,234
458,26,2012-04-03 21:55:05+00:00,235
766,47,2012-04-03 21:55:10+00:00,235
440,45,2012-04-03 21:55:39+00:00,235
162,49,2012-04-03 21:55:46+00:00,235
498,16,2012-04-03 21:55:52+00:00,235
299,47,2012-04-03 21:55:54+00:00,235
652,45,2012-04-03 21:55:55+00:00,235
299,47,2012-04-03 21:56:19+00:00,236
246,47,2012-04-03 21:56:30+00:00,236
246,47,2012-04-03 21:56:56+00:00,236
865,36,2012-04-03 21:57:05+00:00,237
315,26,2012-04-03 21:57:17+00:00,237
194,6,2012-04-03 21:57:54+00:00,237
637,35,2012-04-03 21:57:54+00:00,237
315,26,2012-04-03 21:57:55+00:00,237
12,49,2012-04-03 21:58:10+00:00,238
129,38,2012-04-03 21:58:55+00:00,238
834,64,2012-04-03 21:59:28+00:00,239
787,19,2012-04-03 22:00:11+00:00,240
300,82,2012-04-03 22:00:42+00:00,240
633,36,2012-04-03 22:01:42+00:00,241
315,25,2012-04-03 22:02:13+00:00,242
883,59,2012-04-03 22:02:54+00:00,242
1002,79,2012-04-03 22:03:13+00:00,243
672,54,2012-04-03 22:03:45+00:00,243
973,43,2012-04-03 22:04:54+00:00,244
458,21,2012-04-03 22:05:19+00:00,245
316,25,2012-04-03 22:05:22+00:00,245
1026,62,2012-04-03 22:05:36+00:00,245
597,41,2012-04-03 22:06:16+00:00,246
307,38,2012-04-03 22:06:54+00:00,246
422,46,2012-04-03 22:06:57+00:00,246
365,52,2012-04-03 22:07:37+00:00,247
805,39,2012-04-03 22:08:02+00:00,248
4,61,2012-04-03 22:08:14+00:00,248
905,46,2012-04-03 22:08:20+00:00,248
526,48,2012-04-03 22:08:24+00:00,248
940,42,2012-04-03 22:08:48+00:00,248
359,75,2012-04-03 22:08:56+00:00,248
191,42,2012-04-03 22:11:16+00:00,251
621,75,2012-04-03 22:11:19+00:00,251
130,47,2012-04-03 22:12:27+00:00,252
805,39,2012-04-03 22:12:28+00:00,252
186,46,2012-04-03 22:12:32+00:00,252
751,29,2012-04-03 22:13:21+00:00,253
943,42,2012-04-03 22:13:59+00:00,253
692,29,2012-04-03 22:13:59+00:00,253
1009,36,2012-04-03 22:14:17+00:00,254
806,39,2012-04-03 22:14:31+00:00,254
354,36,2012-04-03 22:14:57+00:00,254
281,44,2012-04-03 22:15:24+00:00,255
418,45,2012-04-03 22:15:43+00:00,255
1076,44,2012-04-03 22:16:16+00:00,256
842,48,2012-04-03 22:16:37+00:00,256
116,43,2012-04-03 22:16:54+00:00,256
436,44,2012-04-03 22:17:45+00:00,257
78,41,2012-04-03 22:18:05+00:00,258
125,48,2012-04-03 22:18:09+00:00,258
335,26,2012-04-03 22:18:10+00:00,258
474,41,2012-04-03 22:18:41+00:00,258
337,64,2012-04-03 22:18:46+00:00,258
26,69,2012-04-03 22:18:52+00:00,258
474,41,2012-04-03 22:18:59+00:00,258
185,94,2012-04-03 22:19:38+00:00,259
777,16,2012-04-03 22:19:43+00:00,259
621,63,2012-04-03 22:19:59+00:00,259
90,47,2012-04-03 22:20:11+00:00,260
989,48,2012-04-03 22:20:38+00:00,260
715,43,2012-04-03 22:21:07+00:00,261
90,46,2012-04-03 22:21:31+00:00,261
987,45,2012-04-03 22:22:54+00:00,262
139,48,2012-04-03 22:23:14+00:00,263
593,63,2012-04-03 22:23:32+00:00,263
235,44,2012-04-03 22:23:50+00:00,263
987,45,2012-04-03 22:24:25+00:00,264
324,46,2012-04-03 22:24:41+00:00,264
328,35,2012-04-03 22:25:19+00:00,265
402,46,2012-04-03 22:25:38+00:00,265
57,56,2012-04-03 22:26:51+00:00,266
443,77,2012-04-03 22:28:11+00:00,268
221,65,2012-04-03 22:28:38+00:00,268
198,37,2012-04-03 22:28:59+00:00,268
371,52,2012-04-03 22:29:17+00:00,269
598,45,2012-04-03 22:29:17+00:00,269
371,52,2012-04-03 22:29:31+00:00,269
772,45,2012-04-03 22:29:49+00:00,269
408,46,2012-04-03 22:29:57+00:00,269
535,38,2012-04-03 22:30:28+00:00,270
1044,46,2012-04-03 22:30:32+00:00,270
340,40,2012-04-03 22:30:52+00:00,270
818,47,2012-04-03 22:30:59+00:00,270
187,45,2012-04-03 22:32:42+00:00,272
593,66,2012-04-03 22:33:06+00:00,273
398,54,2012-04-03 22:33:36+00:00,273
242,47,2012-04-03 22:34:10+00:00,274
242,47,2012-04-03 22:34:30+00:00,274
994,38,2012-04-03 22:34:48+00:00,274
905,48,2012-04-03 22:34:59+00:00,274
1009,36,2012-04-03 22:35:42+00:00,275
509,38,2012-04-03 22:35:54+00:00,275
969,44,2012-04-03 22:36:00+00:00,276
861,58,2012-04-03 22:36:32+00:00,276
16,69,2012-04-03 22:36:43+00:00,276
389,52,2012-04-03 22:36:44+00:00,276
