USERID,VERTEX,TIME,minute
470,38,2012-04-03 18:00:09+00:00,1
979,13,2012-04-03 18:00:25+00:00,1
69,38,2012-04-03 18:02:24+00:00,3
395,44,2012-04-03 18:02:41+00:00,3
87,43,2012-04-03 18:03:00+00:00,4
484,32,2012-04-03 18:04:00+00:00,5
642,46,2012-04-03 18:04:38+00:00,5
292,52,2012-04-03 18:04:42+00:00,5
428,15,2012-04-03 18:06:18+00:00,7
877,15,2012-04-03 18:06:19+00:00,7
87,44,2012-04-03 18:07:15+00:00,8
625,44,2012-04-03 18:08:57+00:00,9
691,38,2012-04-03 18:09:06+00:00,10
116,43,2012-04-03 18:09:29+00:00,10
931,35,2012-04-03 18:09:59+00:00,10
53,71,2012-04-03 18:10:04+00:00,11
445,63,2012-04-03 18:10:39+00:00,11
135,46,2012-04-03 18:11:04+00:00,12
895,81,2012-04-03 18:11:16+00:00,12
704,41,2012-04-03 18:11:35+00:00,12
891,75,2012-04-03 18:12:09+00:00,13
284,44,2012-04-03 18:12:27+00:00,13
901,22,2012-04-03 18:12:42+00:00,13
803,48,2012-04-03 18:13:12+00:00,14
699,42,2012-04-03 18:13:21+00:00,14
100,54,2012-04-03 18:14:03+00:00,15
642,46,2012-04-03 18:14:21+00:00,15
443,24,2012-04-03 18:14:44+00:00,15
689,43,2012-04-03 18:15:05+00:00,16
390,45,2012-04-03 18:15:07+00:00,16
32,45,2012-04-03 18:15:33+00:00,16
230,41,2012-04-03 18:16:09+00:00,17
445,63,2012-04-03 18:16:10+00:00,17
834,71,2012-04-03 18:16:19+00:00,17
962,43,2012-04-03 18:17:17+00:00,18
1032,79,2012-04-03 18:18:54+00:00,19
525,94,2012-04-03 18:19:07+00:00,20
525,94,2012-04-03 18:19:07+00:00,20
962,43,2012-04-03 18:19:21+00:00,20
318,33,2012-04-03 18:19:25+00:00,20
1047,52,2012-04-03 18:19:28+00:00,20
738,40,2012-04-03 18:21:27+00:00,22
364,52,2012-04-03 18:21:33+00:00,22
398,51,2012-04-03 18:23:40+00:00,24
839,45,2012-04-03 18:24:02+00:00,25
424,31,2012-04-03 18:24:38+00:00,25
751,40,2012-04-03 18:24:51+00:00,25
1047,52,2012-04-03 18:24:58+00:00,25
889,85,2012-04-03 18:26:46+00:00,27
612,48,2012-04-03 18:27:43+00:00,28
643,53,2012-04-03 18:31:32+00:00,32
643,53,2012-04-03 18:32:11+00:00,33
1032,76,2012-04-03 18:32:27+00:00,33
718,61,2012-04-03 18:33:26+00:00,34
768,57,2012-04-03 18:33:29+00:00,34
15,53,2012-04-03 18:33:49+00:00,34
768,57,2012-04-03 18:34:00+00:00,35
458,33,2012-04-03 18:34:10+00:00,35
877,15,2012-04-03 18:34:55+00:00,35
280,43,2012-04-03 18:35:31+00:00,36
318,45,2012-04-03 18:36:56+00:00,37
839,45,2012-04-03 18:37:12+00:00,38
1016,87,2012-04-03 18:39:29+00:00,40
281,44,2012-04-03 18:39:34+00:00,40
366,42,2012-04-03 18:39:36+00:00,40
276,46,2012-04-03 18:39:42+00:00,40
135,36,2012-04-03 18:39:44+00:00,40
227,43,2012-04-03 18:42:03+00:00,43
612,48,2012-04-03 18:42:25+00:00,43
458,33,2012-04-03 18:42:32+00:00,43
80,29,2012-04-03 18:43:53+00:00,44
445,58,2012-04-03 18:44:07+00:00,45
673,34,2012-04-03 18:45:15+00:00,46
318,45,2012-04-03 18:46:30+00:00,47
337,63,2012-04-03 18:47:11+00:00,48
916,37,2012-04-03 18:47:23+00:00,48
639,51,2012-04-03 18:48:57+00:00,49
752,71,2012-04-03 18:49:59+00:00,50
713,44,2012-04-03 18:51:03+00:00,52
449,35,2012-04-03 18:52:48+00:00,53
1016,82,2012-04-03 18:55:51+00:00,56
803,45,2012-04-03 18:56:09+00:00,57
895,82,2012-04-03 18:57:40+00:00,58
1012,48,2012-04-03 18:57:46+00:00,58
