location,appear_time,reward
38,0,9
13,0,8
38,1,8
44,1,9
43,2,5
32,2,6
46,2,8
52,0,7
15,4,7
15,1,7
44,1,7
44,6,5
38,3,6
43,8,9
35,2,8
71,10,8
63,4,7
46,5,6
81,5,6
41,2,9
75,6,7
44,2,7
22,6,6
48,4,6
42,4,7
54,6,8
46,2,9
24,6,7
43,6,8
45,5,8
45,15,8
41,10,7
63,6,6
71,14,6
43,9,7
79,7,8
94,17,7
94,7,7
43,3,6
33,15,7
52,17,9
40,11,8
52,14,8
51,5,6
45,17,7
31,12,7
40,4,8
52,0,8
85,18,7
48,13,9
53,19,8
53,27,7
76,18,7
61,1,9
57,25,9
53,1,7
57,33,7
33,16,7
15,33,8
43,28,7
45,17,9
45,31,8
87,22,5
44,34,8
42,7,8
46,24,6
36,25,6
43,4,8
48,4,6
33,21,5
29,43,5
58,43,8
34,7,6
45,46,8
63,23,9
37,34,8
51,40,6
71,32,8
44,39,9
35,49,6
82,46,8
45,16,5
82,56,8
48,32,8
